Date,accrualMethod,count
2026-01-26,Засоби електронного зв’язку,6
2026-01-26,Засоби телефонного зв’язку,327
2026-01-27,Засоби електронного зв’язку,2
2026-01-27,Засоби телефонного зв’язку,331
2026-01-28,Засоби електронного зв’язку,1
2026-01-28,Засоби телефонного зв’язку,317
2026-01-29,Засоби телефонного зв’язку,201
2026-01-29,Засоби електронного зв’язку,2
2026-01-30,Засоби телефонного зв’язку,219
2026-01-30,Засоби електронного зв’язку,3
2026-01-31,Засоби телефонного зв’язку,181
2026-02-01,Засоби телефонного зв’язку,247
2026-02-02,Засоби електронного зв’язку,4
2026-02-02,Засоби телефонного зв’язку,284
2026-02-03,Засоби електронного зв’язку,3
2026-02-03,Засоби телефонного зв’язку,267
2026-02-04,Засоби електронного зв’язку,1
2026-02-04,Засоби телефонного зв’язку,208
2026-02-05,Засоби електронного зв’язку,6
2026-02-05,Засоби телефонного зв’язку,337
2026-02-06,Засоби телефонного зв’язку,239
2026-02-06,Засоби електронного зв’язку,1
2026-02-07,Засоби електронного зв’язку,8
2026-02-07,Засоби телефонного зв’язку,153
2026-02-08,Засоби електронного зв’язку,2
2026-02-08,Засоби телефонного зв’язку,170
2026-02-09,Засоби електронного зв’язку,1
2026-02-09,Засоби телефонного зв’язку,185
2026-02-10,Засоби електронного зв’язку,2
2026-02-10,Засоби телефонного зв’язку,154
2026-02-11,Засоби телефонного зв’язку,161
2026-02-12,Засоби телефонного зв’язку,157
2026-02-12,Засоби електронного зв’язку,1
2026-02-13,Засоби телефонного зв’язку,159
2026-02-14,Засоби електронного зв’язку,4
2026-02-14,Засоби телефонного зв’язку,126
2026-02-15,Засоби телефонного зв’язку,102
2026-02-16,Засоби електронного зв’язку,2
2026-02-16,Засоби телефонного зв’язку,146
2026-02-17,Засоби телефонного зв’язку,240
2026-02-18,Засоби електронного зв’язку,2
2026-02-18,Засоби телефонного зв’язку,158
2026-02-19,Засоби телефонного зв’язку,164
2026-02-20,Засоби телефонного зв’язку,94
2026-02-20,Засоби електронного зв’язку,1
2026-02-21,Засоби телефонного зв’язку,67
2026-02-22,Засоби телефонного зв’язку,51
2026-02-23,Засоби електронного зв’язку,1
2026-02-23,Засоби телефонного зв’язку,123
2026-02-24,Засоби електронного зв’язку,1
2026-02-24,Засоби телефонного зв’язку,116
2026-02-25,Засоби електронного зв’язку,2
2026-02-25,Засоби телефонного зв’язку,122
2026-02-26,Засоби телефонного зв’язку,133
2026-02-26,Засоби електронного зв’язку,1
2026-02-27,Засоби телефонного зв’язку,114
2026-02-28,Засоби телефонного зв’язку,61
2026-03-01,Засоби телефонного зв’язку,82
2026-03-02,Засоби телефонного зв’язку,103
2026-03-03,Засоби електронного зв’язку,2
2026-03-03,Засоби телефонного зв’язку,79
2026-03-04,Засоби телефонного зв’язку,110
2026-03-05,Засоби телефонного зв’язку,98
2026-03-06,Засоби телефонного зв’язку,89
2026-03-07,Засоби телефонного зв’язку,66
2026-03-08,Засоби телефонного зв’язку,50
2026-03-09,Засоби електронного зв’язку,2
2026-03-09,Засоби телефонного зв’язку,135
2026-03-10,Засоби телефонного зв’язку,124
2026-03-11,Засоби телефонного зв’язку,138
2026-03-12,Засоби телефонного зв’язку,125
2026-03-13,Засоби електронного зв’язку,1
2026-03-13,Засоби телефонного зв’язку,134
2026-03-14,Засоби телефонного зв’язку,76
2026-03-15,Засоби телефонного зв’язку,70
2026-03-16,Засоби телефонного зв’язку,167
2026-03-16,Засоби електронного зв’язку,3
2026-03-17,Засоби електронного зв’язку,1
2026-03-17,Засоби телефонного зв’язку,121
2026-03-18,Засоби електронного зв’язку,3
2026-03-18,Засоби телефонного зв’язку,102
2026-03-19,Засоби телефонного зв’язку,114
2026-03-20,Засоби електронного зв’язку,2
2026-03-20,Засоби телефонного зв’язку,115
2026-03-21,Засоби телефонного зв’язку,60
2026-03-22,Засоби телефонного зв’язку,46
2026-03-23,Засоби телефонного зв’язку,124
2026-03-23,Засоби електронного зв’язку,2
2026-03-24,Засоби телефонного зв’язку,174
2026-03-25,Засоби електронного зв’язку,5
2026-03-25,Засоби телефонного зв’язку,213
2026-03-26,Засоби телефонного зв’язку,112
2026-03-27,Засоби телефонного зв’язку,147
2026-03-28,Засоби телефонного зв’язку,77
2026-03-29,Засоби телефонного зв’язку,69
2026-03-30,Засоби електронного зв’язку,1
2026-03-30,Засоби телефонного зв’язку,135
2026-03-31,Засоби електронного зв’язку,1
2026-03-31,Засоби телефонного зв’язку,111
